Year,NOC,Gold,Silver,Bronze,Is_Host,Total_medals,Total_events_4_Years,Total_events_8_Years,Total_events_12_Years,Total_disciplines_4_Years,Total_disciplines_8_Years,Total_disciplines_12_Years,Total_sports_4_Years,Total_sports_8_Years,Total_sports_12_Years,Participants_4_Years,Participants_8_Years,Participants_12_Years,Gold_4_Years,Gold_8_Years,Gold_12_Years,Total_medals_4_Years,Total_medals_8_Years,Total_medals_12_Years
2024,BAR,0,0,0,0,0,302,257,195,42,34,28,27,25,21,10,22,20,0,0,0,0,0,0
1996,BDI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,BDI,0,0,0,0,0,271,0,0,37,0,0,25,0,0,7,0,0,1,0,0,1,0,0
2016,BDI,0,1,0,0,1,300,0,0,40,0,0,27,0,0,6,0,0,0,0,0,0,0,0
2020,BDI,0,0,0,0,0,301,0,0,40,0,0,27,0,0,7,0,0,0,0,0,0,0,0
2024,BDI,0,0,0,0,0,302,0,0,42,0,0,27,0,0,3,0,0,0,0,0,0,0,0
1900,BEL,6,24,13,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,BEL,2,3,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,BEL,1,24,8,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,BEL,7,1,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,BEL,57,65,66,1,188,97,0,0,22,0,0,20,0,0,100,0,0,6,0,0,43,0,0
1924,BEL,3,30,6,0,39,0,0,0,0,0,0,0,0,0,31,0,0,2,0,0,11,0,0
1928,BEL,0,1,4,0,5,110,0,0,25,0,0,22,0,0,99,0,0,1,0,0,33,0,0
1932,BEL,0,0,1,0,1,102,0,0,18,0,0,14,0,0,72,0,0,7,0,0,19,0,0
1936,BEL,0,0,14,0,14,156,97,0,29,22,0,22,20,0,518,100,0,57,6,0,188,43,0
1948,BEL,5,2,8,0,15,126,0,0,23,0,0,17,0,0,234,31,0,3,2,0,39,11,0
1952,BEL,5,3,0,0,8,109,110,0,20,25,0,14,22,0,260,99,0,0,1,0,5,33,0
1956,BEL,0,2,0,0,2,117,102,0,20,18,0,14,14,0,69,72,0,0,7,0,1,19,0
1960,BEL,0,2,2,0,4,129,156,97,25,29,22,19,22,20,205,518,100,0,57,6,14,188,43
1964,BEL,2,0,1,0,3,136,126,0,23,23,0,17,17,0,182,234,31,5,3,2,15,39,11
1968,BEL,0,1,2,0,3,149,109,110,23,20,25,17,14,22,184,260,99,5,0,1,8,5,33
1972,BEL,0,2,0,0,2,151,117,102,23,20,18,17,14,14,82,69,72,0,0,7,2,1,19
1976,BEL,0,3,6,0,9,150,129,156,23,25,29,17,19,22,150,205,518,0,0,57,4,14,188
1980,BEL,1,0,0,0,1,163,136,126,25,23,23,19,17,17,74,182,234,2,5,3,3,15,39
1984,BEL,1,2,2,0,5,172,149,109,24,23,20,18,17,14,106,184,260,0,5,0,3,8,5
1988,BEL,0,0,2,0,2,195,151,117,28,23,20,21,17,14,106,82,69,0,0,0,2,2,1
1992,BEL,0,1,2,0,3,198,150,129,27,23,25,21,17,19,149,150,205,0,0,0,9,4,14
1996,BEL,2,2,2,0,6,203,163,136,27,25,23,21,19,17,84,74,182,1,2,5,1,3,15
2000,BEL,0,3,4,0,7,221,172,149,29,24,23,21,18,17,86,106,184,1,0,5,5,3,8
2004,BEL,1,0,2,0,3,237,195,151,31,28,23,23,21,17,85,106,82,0,0,0,2,2,2
2008,BEL,1,4,0,0,5,257,198,150,34,27,23,25,21,17,103,149,150,0,0,0,3,9,4
2012,BEL,0,1,2,0,3,271,203,163,37,27,25,25,21,19,81,84,74,2,1,2,6,1,3
2016,BEL,2,17,2,0,21,300,221,172,40,29,24,27,21,18,94,86,106,0,1,0,7,5,3
2020,BEL,20,1,6,0,27,301,237,195,40,31,28,27,23,21,70,85,106,1,0,0,3,2,2
2024,BEL,3,1,5,0,9,302,257,198,42,34,27,27,25,21,112,103,149,1,0,0,5,3,9
1972,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,BEN,0,0,0,0,0,195,0,0,28,0,0,21,0,0,3,0,0,0,0,0,0,0,0
1996,BEN,0,0,0,0,0,203,0,0,27,0,0,21,0,0,17,0,0,0,0,0,0,0,0
2000,BEN,0,0,0,0,0,221,0,0,29,0,0,21,0,0,3,0,0,0,0,0,0,0,0
2004,BEN,0,0,0,0,0,237,0,0,31,0,0,23,0,0,10,0,0,0,0,0,0,0,0
2008,BEN,0,0,0,0,0,257,195,0,34,28,0,25,21,0,7,3,0,0,0,0,0,0,0
2012,BEN,0,0,0,0,0,271,203,0,37,27,0,25,21,0,7,17,0,0,0,0,0,0,0
2016,BEN,0,0,0,0,0,300,221,0,40,29,0,27,21,0,4,3,0,0,0,0,0,0,0
2020,BEN,0,0,0,0,0,301,237,0,40,31,0,27,23,0,4,10,0,0,0,0,0,0,0
2024,BEN,0,0,0,0,0,302,257,195,42,34,28,27,25,21,5,7,3,0,0,0,0,0,0
1936,BER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,BER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,BER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,BER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,BER,0,0,0,0,0,129,0,0,25,0,0,19,0,0,9,0,0,0,0,0,0,0,0
1964,BER,0,0,0,0,0,136,0,0,23,0,0,17,0,0,28,0,0,0,0,0,0,0,0
1968,BER,0,0,0,0,0,149,0,0,23,0,0,17,0,0,12,0,0,0,0,0,0,0,0
1972,BER,0,0,0,0,0,151,0,0,23,0,0,17,0,0,3,0,0,0,0,0,0,0,0
1976,BER,0,0,1,0,1,150,129,0,23,25,0,17,19,0,9,9,0,0,0,0,0,0,0
1984,BER,0,0,0,0,0,163,136,0,25,23,0,19,17,0,4,28,0,0,0,0,0,0,0
1988,BER,0,0,0,0,0,172,149,0,24,23,0,18,17,0,6,12,0,0,0,0,0,0,0
1992,BER,0,0,0,0,0,195,151,0,28,23,0,21,17,0,9,3,0,0,0,0,0,0,0
1996,BER,0,0,0,0,0,198,150,129,27,23,25,21,17,19,20,9,9,0,0,0,1,0,0
2000,BER,0,0,0,0,0,221,163,136,29,25,23,21,19,17,13,4,28,0,0,0,0,0,0
2004,BER,0,0,0,0,0,237,172,149,31,24,23,23,18,17,14,6,12,0,0,0,0,0,0
2008,BER,0,0,0,0,0,257,195,151,34,28,23,25,21,17,29,9,3,0,0,0,0,0,0
2012,BER,0,0,0,0,0,271,198,150,37,27,23,25,21,17,10,20,9,0,0,0,0,1,0
2016,BER,0,0,0,0,0,300,221,163,40,29,25,27,21,19,7,13,4,0,0,0,0,0,0
2020,BER,1,0,0,0,1,301,237,172,40,31,24,27,23,18,10,14,6,0,0,0,0,0,0
2024,BER,0,0,0,0,0,302,257,195,42,34,28,27,25,21,6,29,9,0,0,0,0,0,0
1984,BHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,BHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,BHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BHU,0,0,0,0,0,221,0,0,29,0,0,21,0,0,6,0,0,0,0,0,0,0,0
2004,BHU,0,0,0,0,0,237,0,0,31,0,0,23,0,0,6,0,0,0,0,0,0,0,0
2008,BHU,0,0,0,0,0,257,0,0,34,0,0,25,0,0,12,0,0,0,0,0,0,0,0
2012,BHU,0,0,0,0,0,271,0,0,37,0,0,25,0,0,2,0,0,0,0,0,0,0,0
2016,BHU,0,0,0,0,0,300,221,0,40,29,0,27,21,0,2,6,0,0,0,0,0,0,0
2020,BHU,0,0,0,0,0,301,237,0,40,31,0,27,23,0,2,6,0,0,0,0,0,0,0
2024,BHU,0,0,0,0,0,302,257,0,42,34,0,27,25,0,2,12,0,0,0,0,0,0,0
1992,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BIH,0,0,0,0,0,257,0,0,34,0,0,25,0,0,13,0,0,0,0,0,0,0,0
2012,BIH,0,0,0,0,0,271,0,0,37,0,0,25,0,0,12,0,0,0,0,0,0,0,0
2016,BIH,0,0,0,0,0,300,0,0,40,0,0,27,0,0,11,0,0,0,0,0,0,0,0
2020,BIH,0,0,0,0,0,301,0,0,40,0,0,27,0,0,11,0,0,0,0,0,0,0,0
2024,BIH,0,0,0,0,0,302,257,0,42,34,0,27,25,0,7,13,0,0,0,0,0,0,0
1968,BIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,BIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,BIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,BIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BIZ,0,0,0,0,0,172,0,0,24,0,0,18,0,0,7,0,0,0,0,0,0,0,0
1992,BIZ,0,0,0,0,0,195,0,0,28,0,0,21,0,0,2,0,0,0,0,0,0,0,0
1996,BIZ,0,0,0,0,0,198,0,0,27,0,0,21,0,0,4,0,0,0,0,0,0,0,0
2000,BIZ,0,0,0,0,0,221,0,0,29,0,0,21,0,0,13,0,0,0,0,0,0,0,0
2004,BIZ,0,0,0,0,0,237,172,0,31,24,0,23,18,0,13,7,0,0,0,0,0,0,0
2008,BIZ,0,0,0,0,0,257,195,0,34,28,0,25,21,0,18,2,0,0,0,0,0,0,0
2012,BIZ,0,0,0,0,0,271,198,0,37,27,0,25,21,0,5,4,0,0,0,0,0,0,0
2016,BIZ,0,0,0,0,0,300,221,0,40,29,0,27,21,0,2,13,0,0,0,0,0,0,0
2020,BIZ,0,0,0,0,0,301,237,172,40,31,24,27,23,18,2,13,7,0,0,0,0,0,0
2024,BIZ,0,0,0,0,0,302,257,195,42,34,28,27,25,21,4,18,2,0,0,0,0,0,0
1996,BLR,1,6,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BLR,3,8,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BLR,2,5,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BLR,8,5,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,BLR,3,12,8,0,23,271,0,0,37,0,0,25,0,0,259,0,0,1,0,0,23,0,0
2016,BLR,1,4,7,0,12,300,0,0,40,0,0,27,0,0,231,0,0,3,0,0,22,0,0
2020,BLR,1,6,3,0,10,301,0,0,40,0,0,27,0,0,192,0,0,2,0,0,15,0,0
1900,BOH,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,BOH,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,BOH,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,BOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,BOL,0,0,0,0,0,129,0,0,25,0,0,19,0,0,2,0,0,0,0,0,0,0,0
1984,BOL,0,0,0,0,0,163,0,0,25,0,0,19,0,0,1,0,0,0,0,0,0,0,0
1988,BOL,0,0,0,0,0,172,0,0,24,0,0,18,0,0,4,0,0,0,0,0,0,0,0
1992,BOL,0,0,0,0,0,195,0,0,28,0,0,21,0,0,14,0,0,0,0,0,0,0,0
1996,BOL,0,0,0,0,0,198,129,0,27,25,0,21,19,0,5,2,0,0,0,0,0,0,0
2000,BOL,0,0,0,0,0,221,163,0,29,25,0,21,19,0,13,1,0,0,0,0,0,0,0
2004,BOL,0,0,0,0,0,237,172,0,31,24,0,23,18,0,12,4,0,0,0,0,0,0,0
2008,BOL,0,0,0,0,0,257,195,0,34,28,0,25,21,0,21,14,0,0,0,0,0,0,0
2012,BOL,0,0,0,0,0,271,198,129,37,27,25,25,21,19,9,5,2,0,0,0,0,0,0
2016,BOL,0,0,0,0,0,300,221,163,40,29,25,27,21,19,5,13,1,0,0,0,0,0,0
2020,BOL,0,0,0,0,0,301,237,172,40,31,24,27,23,18,11,12,4,0,0,0,0,0,0
2024,BOL,0,0,0,0,0,302,257,195,42,34,28,27,25,21,7,21,14,0,0,0,0,0,0
1980,BOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,BOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,BOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,BOT,0,0,0,0,0,203,0,0,27,0,0,21,0,0,8,0,0,0,0,0,0,0,0
2000,BOT,0,0,0,0,0,221,0,0,29,0,0,21,0,0,8,0,0,0,0,0,0,0,0
2004,BOT,0,0,0,0,0,237,0,0,31,0,0,23,0,0,11,0,0,0,0,0,0,0,0
2008,BOT,0,0,0,0,0,257,0,0,34,0,0,25,0,0,6,0,0,0,0,0,0,0,0
2012,BOT,0,1,0,0,1,271,203,0,37,27,0,25,21,0,7,8,0,0,0,0,0,0,0
2016,BOT,0,0,0,0,0,300,221,0,40,29,0,27,21,0,9,8,0,0,0,0,0,0,0
2020,BOT,0,0,6,0,6,301,237,0,40,31,0,27,23,0,12,11,0,0,0,0,0,0,0
2024,BOT,1,6,0,0,7,302,257,0,42,34,0,27,25,0,11,6,0,0,0,0,0,0,0
1900,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,BRA,1,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,BRA,0,0,0,0,0,97,0,0,22,0,0,20,0,0,3,0,0,0,0,0,0,0,0
1948,BRA,0,0,10,0,10,156,0,0,29,0,0,22,0,0,38,0,0,1,0,0,7,0,0
1952,BRA,1,0,2,0,3,126,0,0,23,0,0,17,0,0,18,0,0,0,0,0,0,0,0
1956,BRA,1,0,0,0,1,117,0,0,20,0,0,14,0,0,67,0,0,0,0,0,0,0,0
1960,BRA,0,0,13,0,13,129,97,0,25,22,0,19,20,0,94,3,0,0,0,0,0,0,0
1964,BRA,0,0,12,0,12,136,156,0,23,29,0,17,22,0,105,38,0,0,1,0,10,7,0
1968,BRA,0,1,3,0,4,149,126,0,23,23,0,17,17,0,119,18,0,1,0,0,3,0,0
1972,BRA,0,0,2,0,2,151,117,0,23,20,0,17,14,0,63,67,0,1,0,0,1,0,0
1976,BRA,0,0,3,0,3,150,129,97,23,25,22,17,19,20,86,94,3,0,0,0,13,0,0
1980,BRA,4,0,5,0,9,163,136,156,25,23,29,19,17,22,65,105,38,0,0,1,12,10,7
1984,BRA,1,33,2,0,36,172,149,126,24,23,23,18,17,17,89,119,18,0,1,0,4,3,0
1988,BRA,1,17,5,0,23,195,151,117,28,23,20,21,17,14,104,63,67,0,1,0,2,1,0
1992,BRA,13,1,0,0,14,198,150,129,27,23,25,21,17,19,89,86,94,0,0,0,3,13,0
1996,BRA,5,15,43,0,63,203,163,136,27,25,23,21,19,17,149,65,105,4,0,0,9,12,10
2000,BRA,0,12,36,0,48,221,172,149,29,24,23,21,18,17,197,89,119,1,0,1,36,4,3
2004,BRA,18,19,3,0,40,237,195,151,31,28,23,23,21,17,233,104,63,1,0,1,23,2,1
2008,BRA,14,34,30,0,78,257,198,150,34,27,23,25,21,17,233,89,86,13,0,0,14,3,13
2012,BRA,14,34,11,0,59,271,203,163,37,27,25,25,21,19,251,149,65,5,4,0,63,9,12
2016,BRA,36,8,6,1,50,300,221,172,40,29,24,27,21,18,236,197,89,0,1,0,48,36,4
2020,BRA,29,17,9,0,55,301,237,195,40,31,28,27,23,21,318,233,104,18,1,0,40,23,2
2024,BRA,4,28,35,0,67,302,257,198,42,34,27,27,25,21,338,233,89,14,13,0,78,14,3
1984,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BRN,0,0,0,0,0,221,0,0,29,0,0,21,0,0,14,0,0,0,0,0,0,0,0
2004,BRN,0,0,0,0,0,237,0,0,31,0,0,23,0,0,16,0,0,0,0,0,0,0,0
2008,BRN,0,0,0,0,0,257,0,0,34,0,0,25,0,0,15,0,0,0,0,0,0,0,0
2012,BRN,0,0,1,0,1,271,0,0,37,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2016,BRN,1,1,0,0,2,300,221,0,40,29,0,27,21,0,4,14,0,0,0,0,0,0,0
2020,BRN,0,1,0,0,1,301,237,0,40,31,0,27,23,0,10,16,0,0,0,0,0,0,0
2024,BRN,2,1,1,0,4,302,257,0,42,34,0,27,25,0,15,15,0,0,0,0,0,0,0
1996,BRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,BRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,BRU,0,0,0,0,0,271,0,0,37,0,0,25,0,0,1,0,0,0,0,0,0,0,0
2020,BRU,0,0,0,0,0,300,0,0,40,0,0,27,0,0,2,0,0,0,0,0,0,0,0
2024,BRU,0,0,0,0,0,301,0,0,40,0,0,27,0,0,1,0,0,0,0,0,0,0,0
1924,BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,BUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,BUL,0,0,1,0,1,126,0,0,23,0,0,17,0,0,31,0,0,0,0,0,0,0,0
1956,BUL,1,3,14,0,18,109,0,0,20,0,0,14,0,0,10,0,0,0,0,0,0,0,0
1960,BUL,1,3,3,0,7,117,0,0,20,0,0,14,0,0,2,0,0,0,0,0,0,0,0
1964,BUL,3,5,2,0,10,129,0,0,25,0,0,19,0,0,85,0,0,0,0,0,0,0,0
1968,BUL,2,21,3,0,26,149,126,0,23,23,0,17,17,0,179,31,0,0,0,0,1,0,0
1972,BUL,6,10,6,0,22,151,109,0,23,20,0,17,14,0,82,10,0,1,0,0,18,0,0
1976,BUL,8,13,18,0,39,150,117,0,23,20,0,17,14,0,183,2,0,1,0,0,7,0,0
1980,BUL,8,44,38,0,90,163,129,0,25,25,0,19,19,0,116,85,0,3,0,0,10,0,0
1988,BUL,10,14,17,0,41,172,149,126,24,23,23,18,17,17,189,179,31,2,0,0,26,1,0
1992,BUL,3,7,7,0,17,195,151,109,28,23,20,21,17,14,226,82,10,6,1,0,22,18,0
1996,BUL,3,12,6,0,21,198,150,117,27,23,20,21,17,14,254,183,2,8,1,0,39,7,0
2000,BUL,5,6,2,0,13,203,163,129,27,25,25,21,19,19,397,116,85,8,3,0,90,10,0
2004,BUL,2,1,14,0,17,237,172,149,31,24,23,23,18,17,281,189,179,10,2,0,41,26,1
2008,BUL,1,1,3,0,5,257,195,151,34,28,23,25,21,17,236,226,82,3,6,1,17,22,18
2012,BUL,0,1,1,0,2,271,198,150,37,27,23,25,21,17,181,254,183,3,8,1,21,39,7
2016,BUL,0,1,6,0,7,300,203,163,40,27,25,27,21,19,150,397,116,5,8,3,13,90,10
2020,BUL,7,1,2,0,10,301,237,172,40,31,24,27,23,18,119,281,189,2,10,2,17,41,26
2024,BUL,3,1,3,0,7,302,257,195,42,34,28,27,25,21,87,236,226,1,3,6,5,17,22
1972,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BUR,0,0,0,0,0,195,0,0,28,0,0,21,0,0,1,0,0,0,0,0,0,0,0
2004,BUR,0,0,0,0,0,237,0,0,31,0,0,23,0,0,9,0,0,0,0,0,0,0,0
2008,BUR,0,0,0,0,0,257,0,0,34,0,0,25,0,0,4,0,0,0,0,0,0,0,0
2012,BUR,0,0,0,0,0,271,0,0,37,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2016,BUR,0,0,0,0,0,300,195,0,40,28,0,27,21,0,4,1,0,0,0,0,0,0,0
2020,BUR,0,0,1,0,1,301,237,0,40,31,0,27,23,0,5,9,0,0,0,0,0,0,0
2024,BUR,0,0,0,0,0,302,257,0,42,34,0,27,25,0,6,4,0,0,0,0,0,0,0
1968,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,CAF,0,0,0,0,0,172,0,0,24,0,0,18,0,0,1,0,0,0,0,0,0,0,0
2000,CAF,0,0,0,0,0,221,0,0,29,0,0,21,0,0,3,0,0,0,0,0,0,0,0
2004,CAF,0,0,0,0,0,237,0,0,31,0,0,23,0,0,15,0,0,0,0,0,0,0,0
2008,CAF,0,0,0,0,0,257,0,0,34,0,0,25,0,0,21,0,0,0,0,0,0,0,0
2012,CAF,0,0,0,0,0,271,172,0,37,24,0,25,18,0,5,1,0,0,0,0,0,0,0
2016,CAF,0,0,0,0,0,300,221,0,40,29,0,27,21,0,3,3,0,0,0,0,0,0,0
2020,CAF,0,0,0,0,0,301,237,0,40,31,0,27,23,0,4,15,0,0,0,0,0,0,0
2024,CAF,0,0,0,0,0,302,257,0,42,34,0,27,25,0,3,21,0,0,0,0,0,0,0
1956,CAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,CAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,CAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,CAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,CAM,0,0,0,0,0,151,0,0,23,0,0,17,0,0,2,0,0,0,0,0,0,0,0
2004,CAM,0,0,0,0,0,163,0,0,25,0,0,19,0,0,15,0,0,0,0,0,0,0,0
2008,CAM,0,0,0,0,0,195,0,0,28,0,0,21,0,0,17,0,0,0,0,0,0,0,0
2012,CAM,0,0,0,0,0,271,0,0,37,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2016,CAM,0,0,0,0,0,300,151,0,40,23,0,27,17,0,4,2,0,0,0,0,0,0,0
2020,CAM,0,0,0,0,0,301,163,0,40,25,0,27,19,0,4,15,0,0,0,0,0,0,0
2024,CAM,0,0,0,0,0,302,195,0,42,28,0,27,21,0,4,17,0,0,0,0,0,0,0
1900,CAN,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,CAN,27,9,12,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,CAN,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,CAN,14,8,30,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,CAN,3,2,3,0,8,97,0,0,22,0,0,20,0,0,7,0,0,1,0,0,2,0,0
1920,CAN,10,3,3,0,16,95,0,0,18,0,0,16,0,0,61,0,0,27,0,0,48,0,0
1924,CAN,0,19,1,0,20,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0
1928,CAN,7,5,21,0,33,110,0,0,25,0,0,22,0,0,148,0,0,14,0,0,52,0,0
1932,CAN,2,13,24,0,39,102,97,0,18,22,0,14,20,0,60,7,0,3,1,0,8,2,0
1936,CAN,1,12,9,0,22,156,95,0,29,18,0,22,16,0,85,61,0,10,27,0,16,48,0
1948,CAN,0,2,5,0,7,126,0,0,23,0,0,17,0,0,83,4,0,0,1,0,20,2,0
1952,CAN,1,3,0,0,4,109,110,0,20,25,0,14,22,0,113,148,0,7,14,0,33,52,0
1956,CAN,5,9,5,0,19,117,102,97,20,18,22,14,14,20,191,60,7,2,3,1,39,8,2
1960,CAN,0,9,0,0,9,129,156,95,25,29,18,19,22,16,167,85,61,1,10,27,22,16,48
1964,CAN,2,2,1,0,5,136,126,0,23,23,0,17,17,0,188,83,4,0,0,1,7,20,2
1968,CAN,3,3,4,0,10,149,109,110,23,20,25,17,14,22,154,113,148,1,7,14,4,33,52
1972,CAN,0,2,9,0,11,151,117,102,23,20,18,17,14,14,150,191,60,5,2,3,19,39,8
